Block,Street,Address,Zip,Trade Name,Corp Name,License
1501,BROENING HIGHWAY,1501 BROENING HIGHWAY,21224,NEW FOOD WAY,"MESVA, INC.",WA
3920,BUENA VISTA AVENUE,3920 BUENA VISTA AVENUE,21211,FOP LODGE #3,BALTO. CITY LODGE #3-FRAT. ORDER POLICE,LC
349-51,CALHOUN STREET SOUTH,349-51 CALHOUN STREET SOUTH,21223,MARGARET'S PLACE,"M.R. GREEN, INC.",WD
31,CALVERT STREET  SOUTH,31 CALVERT STREET  SOUTH,21202,CLOCK,"QG,LLC",LBD7
7,CALVERT STREET NORTH,7 CALVERT STREET NORTH,21202,HOODFELLAS BISTRO & CATERING,"HOODFELLAS KITCHEN, LLC",LD
700-02,CALVERT STREET NORTH,700-02 CALVERT STREET NORTH,21202,CENTERSTAGE,"CENTER STAGE ASSOCIATES, INC.",LBD7
1101,CALVERT STREET NORTH,1101 CALVERT STREET NORTH,21202,PRIME RIB,"PRIME RIB, INC.",LB
1301,CALVERT STREET NORTH,1301 CALVERT STREET NORTH,21202,MERA KITCHEN COLLECTIVE,"MERA KITCHEN COLLECTIVE, LLC",LB
7,CALVERT STREET SOUTH,7 CALVERT STREET SOUTH,21202,CHESAPEAKE SHAKESPEARE COMPANY,CHESAPEAKE SHAKESPEARE COMPANY,LBD7
10,CALVERT STREET SOUTH,10 CALVERT STREET SOUTH,21202,DREAM AT LEGACY BAR & BISTRO,"DREAM AT LEGACY BAR & BISTRO, LLC",LB
16,CALVERT STREET SOUTH,16 CALVERT STREET SOUTH,21202,SPRINGHILL SUITES BALTIMORE,"KAIVAL SERVICES, LLC",LBD7
333,CAMDEN STREET WEST,333 CAMDEN STREET WEST,21201,LEVY,"LEVY BALTIMORE, LLC",LBAL
3811,CANTERBURY ROAD,3811 CANTERBURY ROAD,21218,AMBASSADOR DINING ROOM,"SHRISTI, LLC",LB
601,CAREY STREET NORTH,601 CAREY STREET NORTH,21217,GANI'S WINE & SPIRITS,"ESG HOLDING, INC.",LA
132,CAREY STREET SOUTH,132 CAREY STREET SOUTH,21223,OPPOSITE SIDEWALK SALOON,"WEHAZIT, INC.",LBD7
900,CAREY STREET SOUTH,900 CAREY STREET SOUTH,21223,OLD MAJOR,"IRA GODFREY AND ASSOCIATES, LLC",LBD7
1232,CAROLINE STREET NORTH,1232 CAROLINE STREET NORTH,21213,BIG BILL LIQUORS,"K & C LIQUORS, INC.",LBD7
803,CAROLINE STREET SOUTH,803 CAROLINE STREET SOUTH,21231,HARBOR TANDOOR,"ROBIN & SHAAN, LLC",LB
737,CARROLL STREET,737 CARROLL STREET,21230,N/A,SECURED CREDITOR,LBD7
612,CATHEDRAL STREET,612 CATHEDRAL STREET,21201,"REVIVAL AT MOUNT VERNON PLACE,","LL PRO HOSPITALITY BALTIMORE, LLC",LBHM
816,CATHEDRAL STREET,816 CATHEDRAL STREET,21201,CAFE FILI,"816 CATHEDRAL, LLC",LB
1001,CATHEDRAL STREET,1001 CATHEDRAL STREET,21201,EDR,"EDR, LLC",LB
1212,CATHEDRAL STREET,1212 CATHEDRAL STREET,21201,JOSEPH MEYERHOFF SYMPHONY HALL,"BALTIMORE SYMPHONY ORCHESTRA, INC.",LBD7
1225,CATHEDRAL STREET,1225 CATHEDRAL STREET,21201,THE ANONYMOUS,"ANONYMOUS VENTURES, LLC",LB
900,CATHEDRAL STREET SUITE 3,900 CATHEDRAL STREET SUITE 3,21201,INDIGMA,"BOMBAY GRILL OF BALTIMORE, INC.",LB
26,CATHERINE STREET SOUTH,26 CATHERINE STREET SOUTH,21223,YOUNG'S LIQUOR,"BALTIMORE STAR LIQUOR, INC.",LA
1506,CATON AVENUE SOUTH,1506 CATON AVENUE SOUTH,21227,CATON HOUSE BAR & TAVERN,"C & L CATON, LLC",LBD7
20,CATON AVENUE SOUTH,20 CATON AVENUE SOUTH,21229,CATON CASTLE,"O AND S ENTERPRISES, LIMITED",LBD7
2643,CECIL AVENUE,2643 CECIL AVENUE,21218,H & S MARKET,,LA
1603,CEDDOX STREET,1603 CEDDOX STREET,21226,THE CURTIS BAY ATHLETIC ASSOCIATION,"CURTIS BAY ATHLETIC ASSOCIATION, INC",LC
415,CENTRAL AVENUE  SOUTH,415 CENTRAL AVENUE  SOUTH,21202,COSTIERA,"COSTIERA, LLC",LD
411,CENTRAL AVENUE SOUTH,411 CENTRAL AVENUE SOUTH,21202,TRU BY HILTON BALTIMORE,"HOLLADAY BALTIMORE, LLC",LBHM
415,CENTRAL AVENUE SOUTH,415 CENTRAL AVENUE SOUTH,21202,FIVE IRON GOLF,"FIVE IRON GOLF BALTIMORE, LLC",LB
506,CENTRAL AVENUE SOUTH,506 CENTRAL AVENUE SOUTH,21202,KNEADS BAKESHOP,"KNEADS BAKERY, LLC",LB
511,CENTRAL AVENUE SOUTH,511 CENTRAL AVENUE SOUTH,21202,HYATT PLACE BALTIMORE INNER HARBOR,"511 SOUTH CENTRAL BEVERAGE, LLC",LBHM
711,CENTRAL AVENUE SOUTH,711 CENTRAL AVENUE SOUTH,21202,BIN 604 WINE SELLERS,"WINECO, LLC",LBD7
210,CENTRE STREET EAST,210 CENTRE STREET EAST,21202,MERRITT ATHLETIC CLUB DOWNTOWN,"ROUND ROBIN CAFE, INC.",LB
111,CENTRE STREET WEST,111 CENTRE STREET WEST,21201,TRINACRIA CAFE,CONTRACT PURCHASER,LB
2,CHARLES STREET NORTH,2 CHARLES STREET NORTH,21201,KIMPTON HOTEL MONACO BALTIMORE INNER HARBOR,"JEMAL'S B&O BEVERAGE, LLC",LBHM
115,CHARLES STREET NORTH,115 CHARLES STREET NORTH,21201,DAVID AND DAD'S,"DAVID AND DAD'S, INC.",LB
313,CHARLES STREET NORTH,313 CHARLES STREET NORTH,21201,GOOD FOOD,"313 N CHARLES FOOD GROUP, LLC",LBD7
322,CHARLES STREET NORTH,322 CHARLES STREET NORTH,21201,LUMBINI RESTAURANT,"NEHA, INC",LB
326-28,CHARLES STREET NORTH,326-28 CHARLES STREET NORTH,21201,MICK O'SHEA'S IRISH PUB,"S & D O'SHEA'S, LLC",LB
334-36,CHARLES STREET NORTH,334-36 CHARLES STREET NORTH,21201,HOMESLYCE,"336 CHARLES, LLC",LB
405,CHARLES STREET NORTH,405 CHARLES STREET NORTH,21201,SOTTO SOPRA,"SOTTO, INC.",LB
413,CHARLES STREET NORTH,413 CHARLES STREET NORTH,21201,DARKER THAN BLUE GRILLE,"J&H HOSPITALITY GROUP, LLC",LB
518,CHARLES STREET NORTH,518 CHARLES STREET NORTH,21201,LA MI AMORE,"LA MI AMORE, LLC",LB
527,CHARLES STREET NORTH,527 CHARLES STREET NORTH,21201,THE BUTTONWOOD,"BUTTONWOOD GROUP, LLC",LB
600,CHARLES STREET NORTH,600 CHARLES STREET NORTH,21201,WALTERS ART MUSEUM,TRUSTEES OF THE WALTERS ART GALLERY,LB
800,CHARLES STREET NORTH,800 CHARLES STREET NORTH,21201,HELMAND RESTAURANT,"ARIANA, INC.",LB
800,CHARLES STREET NORTH,800 CHARLES STREET NORTH,21201,DOOBY'S COFFEE,DOOBYHAN GROUP INC.,LB
815-17,CHARLES STREET NORTH,815-17 CHARLES STREET NORTH,21201,MT. VERNON SUPERMARKET,"MT. VERNON, INC.",LA
823,CHARLES STREET NORTH,823 CHARLES STREET NORTH,21201,AKBAR RESTAURANT,"SATGURU NANAK JI,LLC",LB
900,CHARLES STREET NORTH,900 CHARLES STREET NORTH,21201,SPIRITS OF MOUNT VERNON,"MAC GILLIVRAYS BUSINESS, LLC",LBD7
904,CHARLES STREET NORTH,904 CHARLES STREET NORTH,21201,MARIE LOUISE BISTRO,"MARIE LOUISE CATERING, INC",LB
909,CHARLES STREET NORTH,909 CHARLES STREET NORTH,21201,MT. VERNON STABLE & SALOON,"HM FAYETTE LIBERTY, LLC",LB
911,CHARLES STREET NORTH,911 CHARLES STREET NORTH,21201,KUMARI RESTAURANT & BAR,"DEURALI, LLC",LB
918-20,CHARLES STREET NORTH,918-20 CHARLES STREET NORTH,21201,NEPAL HOUSE,"NEPAL HOUSE, INC.",LB
924,CHARLES STREET NORTH,924 CHARLES STREET NORTH,21201,THE MANOR,"THE MANOR BALTIMORE, LLC",LB
930,CHARLES STREET NORTH,930 CHARLES STREET NORTH,21201,SANGRIA,"SANGRIA,LLC",LB
1001-03,CHARLES STREET NORTH,1001-03 CHARLES STREET NORTH,21201,GRAND CENTRAL,"LP GRAND CENTRAL, LLC",LBD7
1013,CHARLES STREET NORTH,1013 CHARLES STREET NORTH,21201,MINATO JAPANESE RESTAURANT,"AUSTIN T, INC.",LB
1106,CHARLES STREET NORTH,1106 CHARLES STREET NORTH,21201,BREWER'S ART,"OLD LINE BREWERS, LLC",LB
1200,CHARLES STREET NORTH,1200 CHARLES STREET NORTH,21201,SAMMY'S TRATTORIA,"SAM'S ITALIAN RESTAURANT, LLC.",LB
1218,CHARLES STREET NORTH,1218 CHARLES STREET NORTH,21201,ALOHA,"NARAYANAM, LLC",LB
1224,CHARLES STREET NORTH,1224 CHARLES STREET NORTH,21201,GRILL TWELVE 24,"Z CORP, LLC",LB
1307,CHARLES STREET NORTH,1307 CHARLES STREET NORTH,21201,XS,"XS, LLC",LB
1309-17,CHARLES STREET NORTH,1309-17 CHARLES STREET NORTH,21201,JAY'S DELI,"JAY'S RESTAURANT GROUP, INC.",LBD7
1515,CHARLES STREET NORTH,1515 CHARLES STREET NORTH,21201,JAVA MOON CAFE,"FABER, COE & GREGG OF FLORIDA, INC.",LB
1700,CHARLES STREET NORTH,1700 CHARLES STREET NORTH,21201,METRO GALLERY,METRO GALLERY HOLDING CORP.,LBD7
1701-05,CHARLES STREET NORTH,1701-05 CHARLES STREET NORTH,21201,ALMA,"ALMA COCINA LATINA, LLC",LB
1713,CHARLES STREET NORTH,1713 CHARLES STREET NORTH,21201,CHARLES THEATRE,"BALTIMORE MOVIES, INC.",LB
1724-26,CHARLES STREET NORTH,1724-26 CHARLES STREET NORTH,21201,CLUB CHARLES-ZODIAC,"MARTIN & KAHOE, INC.",LBD7
1728,CHARLES STREET NORTH,1728 CHARLES STREET NORTH,21201,DEPOT,"WHATEVER, INC.",LBD7
1813,CHARLES STREET NORTH,1813 CHARLES STREET NORTH,21201,TRIP'S PLACE,"TRIP DRINK, INC.",LBD7
1815-17,CHARLES STREET NORTH,1815-17 CHARLES STREET NORTH,21201,CLUB CHOICES,"TRIP ASSOCIATES, INC",AE
4501,CHARLES STREET NORTH,4501 CHARLES STREET NORTH,21210,COLLEGE CENTER,"LOYOLA UNIVERSITY MARYLAND, INC.",LC
1910-16,CHARLES STREET NORTH,1910-16 CHARLES STREET NORTH,21218,NEW SEOUL RESTAURANT,"B AND S RESTAURANT, INC.",LB
2022,CHARLES STREET NORTH,2022 CHARLES STREET NORTH,21218,BALTIMORE EAGLE,"BALTIMORE EAGLE,LLC",LBD7
2022,CHARLES STREET NORTH,2022 CHARLES STREET NORTH,21218,SECURED CREDITOR,,LBD7
2101,CHARLES STREET NORTH,2101 CHARLES STREET NORTH,21218,MI COMALITO,"MI COMALITO RESTAURANT, INC.",LB
2200,CHARLES STREET NORTH,2200 CHARLES STREET NORTH,21218,GERI'S LIQUORS,"PRAPTI DEEP, LLC",LA
2229,CHARLES STREET NORTH,2229 CHARLES STREET NORTH,21218,DUTCH COURAGE,"MIDDLEZOO BEVERAGE GROUP, LLC",LBD7
2426-32,CHARLES STREET NORTH,2426-32 CHARLES STREET NORTH,21218,PAUL CHEN HONG KONG RESTAURANT,"CHEN'S HONG KONG RESTAURANT AT BALTIMORE, INC.",LB
2448,CHARLES STREET NORTH,2448 CHARLES STREET NORTH,21218,SEENA WINES AND LIQUORS,"MDC ENTERPRISE, INC.",LA
3215,CHARLES STREET NORTH,3215 CHARLES STREET NORTH,21218,THE STUDY AT JOHNS HOPKINS,"STUDY BALTIMORE OPERATING, LLC",LBHM
3333,CHARLES STREET NORTH,3333 CHARLES STREET NORTH,21218,HOMESLYCE,"3333 CHARLES, LLC",LB
1709,CHARLES STREET NORTH SUITE 101,1709 CHARLES STREET NORTH SUITE 101,21201,FORAGED,"AMENDOLA RESTAURANT GROUP, LLC",LB
222,CHARLES STREET NORTH UNIT B2,222 CHARLES STREET NORTH UNIT B2,21201,URBAN CELLARS & SPIRITS,"SHREE MYSAI, LLC",LA
326,"CHARLES STREET NORTH, SUITE 1","326 CHARLES STREET NORTH, SUITE 1",21201,STEM & VINE,"STEM AND VINE, LLC",LBD7
15-19,CHARLES STREET SOUTH,15-19 CHARLES STREET SOUTH,21201,DELTA BY MARRIOTT,"CHARLES REDWOOD GROUP MT, LLC",LBHM
300,CHARLES STREET SOUTH,300 CHARLES STREET SOUTH,21201,MORTON'S OF CHICAGO,"MORTON'S OF CHICAGO/BALTIMORE, LLC",LB
300,CHARLES STREET SOUTH,300 CHARLES STREET SOUTH,21201,SHERATON INNER HARBOR HOTEL,"SHERATON OPERATING, LLC",LBHM
901,CHARLES STREET SOUTH,901 CHARLES STREET SOUTH,21230,FEDERAL HILL WINE & SPIRITS,"FEDERAL HILL LIQUORS, INC.",LA
902,CHARLES STREET SOUTH,902 CHARLES STREET SOUTH,21230,GAMEON,"LUIGI,LLC",LB
1024,CHARLES STREET SOUTH,1024 CHARLES STREET SOUTH,21230,NOBLES BAR & GRILL,"PIROG & MARSHALL, INC.",LBD7
1025-27,CHARLES STREET SOUTH,1025-27 CHARLES STREET SOUTH,21230,ILLUSIONS BAR & THEATER,"KENZO, LLC",LD
1035-37,CHARLES STREET SOUTH,1035-37 CHARLES STREET SOUTH,21230,BROTHERS SUSHI,"ZHAO BROTHERS, LLC",LD
1044,CHARLES STREET SOUTH,1044 CHARLES STREET SOUTH,21230,SMITTY'S LIQUORS,"SHIN DAE GAE, INC",LA
1061,CHARLES STREET SOUTH,1061 CHARLES STREET SOUTH,21230,MAGERK'S,"MAGERK'S PUB, INC.",LBD7
1065,CHARLES STREET SOUTH,1065 CHARLES STREET SOUTH,21230,CROSS STREET MARKET,"CSM VENTURES, LLC",LB
1105,CHARLES STREET SOUTH,1105 CHARLES STREET SOUTH,21230,MATSURI RESTAURANT,MATSURI DA CORPORATION,WD
1110-12,CHARLES STREET SOUTH,1110-12 CHARLES STREET SOUTH,21230,THE CHARLES,"MAD RIVER BALTIMORE, LLC",LB
1113,CHARLES STREET SOUTH,1113 CHARLES STREET SOUTH,21230,MOTHER'S FEDERAL HILL GRILLE,"MOTHER'S FEDERAL HILL GRILL, INC.",LB
1115-21,CHARLES STREET SOUTH,1115-21 CHARLES STREET SOUTH,21230,WAYWARD SOUTHERN BAR AND KITCHEN,"PULL THE TRIGGER, LLC",LB
1125,CHARLES STREET SOUTH,1125 CHARLES STREET SOUTH,21230,CHEESE GALORE AND MORE,"CHEESE GALORE, LLC",WD
1209,CHARLES STREET SOUTH,1209 CHARLES STREET SOUTH,21230,"ROPEWALK ""A FEDERAL HILL TAVERN & SEAFOOD CO""","ROPEWALK, INC.",LBD7
1439,CHARLES STREET SOUTH,1439 CHARLES STREET SOUTH,21230,DELIA FOLEY'S,CATHERINES PUB LLC,LD
1633,CHARLES STREET SOUTH,1633 CHARLES STREET SOUTH,21230,ROWAN TREE,"Z AND J, LLC",LBD7
1118,CHARLES STREET SOUTH UNIT 101,1118 CHARLES STREET SOUTH UNIT 101,21230,BANDITOS,"THE SOBO TACO SPOT,LLC",LBD7
1,CHASE STREET EAST,1 CHASE STREET EAST,21202,TRUFFLES AT THE BELVEDERE,"TRUFFLES AT THE BELVEDERE, LLC",LB
2201,CHASE STREET EAST,2201 CHASE STREET EAST,21213,CLUB THUNDERBIRD,"NEW CLUB THUNDERBIRD, INC",LBD7
2401,CHASE STREET EAST,2401 CHASE STREET EAST,21213,YOUNG'S,"YOUNG'S II, INC.",LBD7
223,CHASE STREET WEST,223 CHASE STREET WEST,21201,WET CITY,"POST PROHIBITION, LLC",LB
249,CHASE STREET WEST,249 CHASE STREET WEST,21201,ANGYLS LIQUORS,"ANGYLS, LLC",LA
632,CHERRY HILL ROAD,632 CHERRY HILL ROAD,21225,VISION CHERRY HILL LIQUORS,"CHLC, INC.",LA
1527,CHERRY STREET,1527 CHERRY STREET,21226,BROOKLYN/CURTIS BAY AMERICAN LEGION #187,AMERICAN LEGION POST #187,LC
600-04,CHESTER STREET NORTH,600-04 CHESTER STREET NORTH,21205,BEXX LIQUOR,"HARIMAYA, LLC",LA
1432,CHESTER STREET NORTH,1432 CHESTER STREET NORTH,21213,NEW BUCKETT'S LOUNGE,"NEW BUCKETT'S LOUNGE, INC.",LBD7
32,CHESTER STREET NORTH,32 CHESTER STREET NORTH,21231,LA BARRITA,"32 NORTH CHESTER RESTAURANT, LLC",LB
123,CHESTER STREET SOUTH,123 CHESTER STREET SOUTH,21231,CHARMED KITCHEN,"CHARMED CAFE, LLC",LB
420,CHESTER STREET SOUTH,420 CHESTER STREET SOUTH,21231,HOLY ROSARY ROMAN CATHOLIC CHURCH,"HOLY ROSARY ROMAN CATHOLIC CONGREGATION,INC",WC
3232,CHESTERFIELD AVENUE,3232 CHESTERFIELD AVENUE,21213,BROTHER'S GROCERY,BROTHER'S GROCERY INC.,WD
3360,CHESTNUT AVENUE,3360 CHESTNUT AVENUE,21211,ROCKET TO VENUS,"THREE, FOUR, LLC",LBD7
3500,CHESTNUT AVENUE,3500 CHESTNUT AVENUE,21211,BODHI CORNER,"B-MORE THAI, LLC",LB
3535,CHESTNUT AVENUE,3535 CHESTNUT AVENUE,21211,PAULIE GEE'S HAMPDEN,"BALTIMORE PIZZA HOLDINGS,LLC",LB
3601-03,CHESTNUT AVENUE,3601-03 CHESTNUT AVENUE,21211,DYLAN'S OYSTER CELLAR,"DYLAN'S OYSTER CELLAR, LLC",LB
1401,CLEMENT STREET EAST,1401 CLEMENT STREET EAST,21230,PEPPA FLAME BAR & GRILL,"THE NORWOOD AFFECT, INC.",LB
3403-05,CLIFTON AVENUE,3403-05 CLIFTON AVENUE,21216,GARRISON LOUNGE,"DMT ENTERPRISES, INC.",LBD7
1700,CLIFTVIEW AVENUE,1700 CLIFTVIEW AVENUE,21213,CLIFTVIEW MARKET,"CHIN GOO, INC.",WA
418,CLINTON STREET SOUTH,418 CLINTON STREET SOUTH,21224,SNAKE HILL GRILL,"FLOS,LLC",LBD7
601,CLINTON STREET SOUTH,601 CLINTON STREET SOUTH,21224,ANNABEL LEE TAVERN,"SOUTH CLINTON TAVERN, LLC",LBD7
900,CLINTON STREET SOUTH,900 CLINTON STREET SOUTH,21224,DUCKY PLEASURE CLUB,"DUCKY PLEASURE CLUB, INC.",WC
901,CLINTON STREET SOUTH,901 CLINTON STREET SOUTH,21224,ELLIE'S TAVERN,"ELLIE'S TAVERN, LLC",LBD7
1129,CLINTON STREET SOUTH,1129 CLINTON STREET SOUTH,21224,MIKE MCGOVERN'S IRISH PUB,"MIKE MCGOVERN, LLC",LBD7
1224-26,CLINTON STREET SOUTH,1224-26 CLINTON STREET SOUTH,21224,LIGHTHOUSE TAVERN,"JWH BARS, LLC",LBD7
3300,CLIPPER MILL ROAD,3300 CLIPPER MILL ROAD,21211,TRUE CHESAPEAKE OYSTER CO.,"TRUE CHESAPEAKE, LLC",LB
3300,CLIPPER MILL ROAD,3300 CLIPPER MILL ROAD,21211,WHITEHALL MILL,"WHITEHALL MILL, LLC",LB
3600,CLIPPER MILL ROAD,3600 CLIPPER MILL ROAD,21211,LA CUCHARA,"FIELD, LLC",LB
3300,"CLIPPER MILL ROAD, STALL #7","3300 CLIPPER MILL ROAD, STALL #7",21211,FIREFLY FARMS MARKET,"FIREFLY FARMS LIQUORS, LLC",LA
2010,CLIPPER PARK ROAD,2010 CLIPPER PARK ROAD,21211,WOODBERRY KITCHEN,"WATERSHED, LLC",LB
1520,CLIPPER ROAD,1520 CLIPPER ROAD,21211,BIRROTECA,"BIRROTECA MANAGEMENT, LLC",LB
4712,CLUB ROAD,4712 CLUB ROAD,21210,BALTIMORE COUNTRY CLUB,BALTIMORE COUNTRY CLUB OF BALTIMORE CITY,LC
413,COLDSPRING LANE  WEST,413 COLDSPRING LANE  WEST,21210,NAMASTE BALTIMORE,"MAYA, INC.",LB
415,COLDSPRING LANE WEST,415 COLDSPRING LANE WEST,21210,ALONSO'S,"ROBIN & MAYA, LLC",LB
507-15,COLDSPRING LANE WEST,507-15 COLDSPRING LANE WEST,21210,MISS SHIRLEY'S CAFE,"CLASSIC COLDSPRING NORTH, LLC",LB
1848-50,COLLINGTON AVENUE NORTH,1848-50 COLLINGTON AVENUE NORTH,21213,PHAROAH SOCIAL CLUB,"PHAROAH SOCIAL CLUB, INC.",LC
200,CONKLING STREET SOUTH,200 CONKLING STREET SOUTH,21224,K&D SPORTS BAR AND LOUNGE,"CONKLING HOLDINGS, INC.",LBD7
339,CONKLING STREET SOUTH,339 CONKLING STREET SOUTH,21224,VENICE TAVERN,"DESANTIS, INC.",LBD7
418-426,CONKLING STREET SOUTH,418-426 CONKLING STREET SOUTH,21224,FILLIPPO'S PIZZERIA,"MATTU BROTHERS, INC.",LBD7
801,CONKLING STREET SOUTH,801 CONKLING STREET SOUTH,21224,KNOTTY PINE INN,"DEMBCO, INC.",LBD7
938-40,CONKLING STREET SOUTH,938-40 CONKLING STREET SOUTH,21224,BLUEHILL TAVERN,"938 CONKLING, LLC",LB
1028,CONKLING STREET SOUTH,1028 CONKLING STREET SOUTH,21224,OF LOVE AND REGRET,"CONKLING STREET, LLC",LBD7
1211,CONKLING STREET SOUTH,1211 CONKLING STREET SOUTH,21224,GUNTHER & CO.,"GUNTHER BOILER WORKS, LLC",LBD7
225,CROMWELL STREET EAST,225 CROMWELL STREET EAST,21230,RYE STREET TAVERN,"RYE STREET TAVERN LICENSEE, LLC",LBD7
301,CROMWELL STREET EAST,301 CROMWELL STREET EAST,21230,SAGAMORE SPIRIT,"SAGAMORE WHISKEY, LLC",DP
101,CROMWELL STREET WEST,101 CROMWELL STREET WEST,21231,SOUTH POINT,"SOUTH POINT OF PORT CONVINGTON,LLC",LBD7
26-30,CROSS STREET  EAST,26-30 CROSS STREET  EAST,21230,STALKING HORSE,"26 E. CROSS, LLC",LBD7
10-Aug,CROSS STREET EAST,8-10 CROSS STREET EAST,21230,8 X 10 CLUB,"CONSENSUAL REALITY, LLC",LBD7
18,CROSS STREET EAST,18 CROSS STREET EAST,21230,CROSSBAR,"18 CROSS,LLC",LBD7
20,CROSS STREET EAST,20 CROSS STREET EAST,21230,PUB DOG PIZZA & DRAFTHOUSE,"PUB DOG OF FEDERAL HILL, INC",LBD7
22-24,CROSS STREET EAST,22-24 CROSS STREET EAST,21230,SPOONS CAFE,"SPOONS COFFEE, INC.",WD
25,CROSS STREET EAST,25 CROSS STREET EAST,21230,PALM,"TISJACK, INC.",LBD7
27,CROSS STREET EAST,27 CROSS STREET EAST,21230,BOILER ROOM,"27 CROSS ASSOCIATES, LLC",LD
31-33,CROSS STREET EAST,31-33 CROSS STREET EAST,21230,NO WAY ROSE,"CROSS STREET MANAGEMENT,LLC",LBD7
32-36,CROSS STREET EAST,32-36 CROSS STREET EAST,21230,NOLA,"BL 32 CROSS, LLC",LB
38,CROSS STREET EAST,38 CROSS STREET EAST,21230,ONE STAR COUNTRY CLUB,"ANDCROSS, INC.",LB
,CROSS STREET MARKET, CROSS STREET MARKET,21230,BIG JIM'S DELI,"BIG JIM'S DELI, INC.",WB
8-Jun,CROSS STREET WEST,6-8 CROSS STREET WEST,21230,SOBO CAFE,"ANNOULA ENTERPRISES, LLC",WD
701,CURLEY STREET SOUTH,701 CURLEY STREET SOUTH,21224,OBSESSION BAR,"OBSESSION BAR, LLC",LBD7
4600,CURTIS AVENUE,4600 CURTIS AVENUE,21226,THUMPERS,"CURTIS AVENUE ASSOCIATES, LLC",LBD7
4810,CURTIS AVENUE,4810 CURTIS AVENUE,21226,JIM DANDY'S,"JIM DANDY'S TAVERN, INC.",LBD7
10,CUSTOM HOUSE AVENUE,10 CUSTOM HOUSE AVENUE,21202,NORMA JEAN'S,"PP & G, INC.",AE
18,CUSTOM HOUSE AVENUE,18 CUSTOM HOUSE AVENUE,21202,LARRY FLYNT'S HUSTLER CLUB,"MD J3 D ENTERTAINMENT, LLC",LBD7
1524,CYPRESS STREET,1524 CYPRESS STREET,21226,ONE STOP LIQUOR AND SHOP,"GHIMIRE BROTHERS, LLC",LA
800,DEAN STREET SOUTH,800 DEAN STREET SOUTH,21224,DAVEY JONES LOCKER,"HUBBE, INC.",LBD7
1401,DECATUR STREET,1401 DECATUR STREET,21230,THE LAST PENNY,PATEL DIPAL & RANDHAWA  AJIAB,LD
2,DECKER AVENUE SOUTH,2 DECKER AVENUE SOUTH,21224,ROMAN'S PLACE,"ROMAN'S PLACE,INC.",LB
801-03,DECKER AVENUE SOUTH,801-03 DECKER AVENUE SOUTH,21224,CANTON LOCAL,"HVS HOSPITALITY, LLC",LBD7
2706,DILLON STREET,2706 DILLON STREET,21224,MAHAFFEY'S PUB,"BUBS, LLC",LB
1800,DIVISION STREET,1800 DIVISION STREET,21217,ROYAL LIQUORS,"ROYAL K & K, INC.",LA
3590,DOLFIELD AVENUE,3590 DOLFIELD AVENUE,21215,DOLFIELD LIQUORS,YOOH CORPORATION,LA
2361,DRUID HILL AVENUE,2361 DRUID HILL AVENUE,21217,SUGAR HILL TAVERN,"HBS ENTERPRISE, INC.",LBD7
2811,DRUID PARK DRIVE,2811 DRUID PARK DRIVE,21215,VULCAN BLAZERS OF BALTIMORE CITY,"VULCAN BLAZERS OF BALTIMORE CITY, INC.",LC
625-27,DUNCAN STREET NORTH,625-27 DUNCAN STREET NORTH,21205,JANAE'S 2,"627 DUNCAN RESTAURANT, LLC",LD
1006-08,DUNDALK AVENUE,1006-08 DUNDALK AVENUE,21224,JOE'S TAVERN OF DUNDALK,"DARREN HENSON, LLC",LBD7
1107,DUNDALK AVENUE,1107 DUNDALK AVENUE,21224,GENIE'S LIQUORS,"G.T.C., INC.",LA
1,EAGER STREET EAST,1 EAGER STREET EAST,21202,MARYLAND CLUB,MARYLAND CLUB,LC
7,EAGER STREET WEST,7 EAGER STREET WEST,21201,EDDIE'S OF MT. VERNON,"EDDIE'S OF EAGER STREET, INC.",LA
711,EASTERN AVENUE,711 EASTERN AVENUE,21202,RUTH'S CHRIS STEAKHOUSE,"EURASIAN HARBOR, LLC",LB
711,EASTERN AVENUE,711 EASTERN AVENUE,21202,PIER 5 HOTEL,"MJ HARBOR LOUNGE, INC.",LB
711,EASTERN AVENUE,711 EASTERN AVENUE,21202,MCCORMICK & SCHMICK'S SEAFOOD RESTAURANT,"MCCORMICK & SCHMICK MARYLAND LIQUOR,INC",LB
829,EASTERN AVENUE,829 EASTERN AVENUE,21202,DALESIO'S OF LITTLE ITALY,"DALESIO'S OF LITTLE ITALY, LLC",LB
1012,EASTERN AVENUE,1012 EASTERN AVENUE,21202,LA SCALA RISTORANTE ITALIANO,"BAFIA, INC.",LB
1018,EASTERN AVENUE,1018 EASTERN AVENUE,21202,VENICE TAVERN LITTLE ITALY,"VENICE TAVERN LITTLE ITALY, INC",LBD7
1622,EASTERN AVENUE,1622 EASTERN AVENUE,21224,EKIBEN,"EKIBEN, LLC",LD
2819,EASTERN AVENUE,2819 EASTERN AVENUE,21224,SHARKY'S BAR & GRILL,"WOPARICO, INC.",LBD7
3131,EASTERN AVENUE,3131 EASTERN AVENUE,21224,MATTHEW'S PIZZA,"TOMATO PIE, INC.",LD
3134,EASTERN AVENUE,3134 EASTERN AVENUE,21224,CREATIVE ALLIANCE,"CREATIVE ALLIANCE, INC.",LB
3203,EASTERN AVENUE,3203 EASTERN AVENUE,21224,MUSTANG INN,"GINGER, INC.",LBD7
